n_drones,trial,mothership_survived,n_drones_lost,time_to_resolution,min_miss_distance
2,20,True,0,90.04999999999703,35.32888832378902
2,21,False,0,19.150000000000137,13.38597992844238
2,22,True,0,90.04999999999703,54.34980171637795
2,23,True,0,90.04999999999703,49.64825687187618
2,24,True,0,90.04999999999703,44.176964173684404
2,25,True,0,90.04999999999703,20.04299657306818
2,26,True,0,90.04999999999703,31.882330710149777
2,27,True,0,90.04999999999703,35.422980999637225
2,28,False,0,18.75000000000013,1.6685535406632663
2,29,True,0,90.04999999999703,39.18594943959132
2,30,False,0,18.950000000000134,9.060630675507255
2,31,False,0,19.100000000000136,0.8636833725259866
2,32,True,0,90.04999999999703,45.12540735404664
2,33,True,0,90.04999999999703,54.15357318692047
2,34,False,0,19.150000000000137,2.3735774107718113
2,35,True,0,90.04999999999703,51.08781366959118
2,36,False,0,18.850000000000133,10.988067572521752
2,37,False,0,19.050000000000136,11.489593299950855
2,38,True,0,90.04999999999703,49.47174478861965
2,39,True,0,90.04999999999703,38.73889666998506
2,40,True,0,90.04999999999703,37.227406775604784
2,41,True,0,90.04999999999703,36.980220372838104
2,42,True,0,90.04999999999703,21.201760435282925
2,43,True,0,90.04999999999703,53.004412719089025
2,44,True,0,90.04999999999703,25.54639363071492
2,45,False,0,18.850000000000133,3.1819240311825454
2,46,True,0,90.04999999999703,52.01600220167753
2,47,True,0,90.04999999999703,49.71908011135738
2,48,True,0,90.04999999999703,43.610390713859196
2,49,True,0,90.04999999999703,37.732312114030435
2,50,True,0,90.04999999999703,30.991776640903954
2,51,True,0,90.04999999999703,51.625938300927494
2,52,True,0,90.04999999999703,31.803815467834045
2,53,True,0,90.04999999999703,26.055893065861234
2,54,False,0,18.800000000000132,12.211800155228744
2,55,False,0,18.75000000000013,10.868454875370432
2,56,True,0,90.04999999999703,38.72570906357805
2,57,True,0,90.04999999999703,25.733819377997865
2,58,True,0,90.04999999999703,35.952897822846175
2,59,True,0,90.04999999999703,33.61747891076376
3,0,True,0,90.04999999999703,19.12380464624516
3,1,True,0,90.04999999999703,50.169567733024515
3,2,True,0,90.04999999999703,41.49835017565568
3,3,False,0,18.950000000000134,8.297798261342374
3,4,True,0,90.04999999999703,193.24699830445903
3,5,True,0,90.04999999999703,31.267628698760976
3,6,False,0,18.75000000000013,14.821875956891086
3,7,True,0,90.04999999999703,138.7706417795023
3,8,True,0,90.04999999999703,15.553626483832426
3,9,True,0,90.04999999999703,17.896750196124835
3,10,True,0,90.04999999999703,56.00946580256951
3,11,False,0,18.75000000000013,5.648366551345337
3,12,True,0,90.04999999999703,28.209692325262687
3,13,True,0,90.04999999999703,43.69185467470969
3,14,True,0,90.04999999999703,98.8372034018505
3,15,True,0,90.04999999999703,31.023389400842078
3,16,True,0,90.04999999999703,35.7844407789755
3,17,True,0,90.04999999999703,89.8079409452807
3,18,True,0,90.04999999999703,40.49027507066844
3,19,False,0,18.900000000000134,5.958417521227389
3,20,True,0,90.04999999999703,52.53508343767063
3,21,True,0,90.04999999999703,99.89301027504531
3,22,True,0,90.04999999999703,22.216827503379246
3,23,True,0,90.04999999999703,75.27711910603426
3,24,True,0,90.04999999999703,63.48819308083341
3,25,True,0,90.04999999999703,48.94717337197194
3,26,True,0,90.04999999999703,160.52101041234133
3,27,True,0,90.04999999999703,43.7855940247164
3,28,True,0,90.04999999999703,49.91864263312928
3,29,True,0,90.04999999999703,23.352307213658243
3,30,True,0,90.04999999999703,69.54157276103886
3,31,True,0,90.04999999999703,124.58147468747335
3,32,True,0,90.04999999999703,33.2112861136076
3,33,True,0,90.04999999999703,142.75823550642266
3,34,True,0,90.04999999999703,52.24442011830349
3,35,True,0,90.04999999999703,75.41505594506748
3,36,True,0,90.04999999999703,63.02005972480876
3,37,False,0,18.75000000000013,8.340108051320273
3,38,True,0,90.04999999999703,85.70760259835575
3,39,False,0,19.150000000000137,11.601724449476997
3,40,True,0,90.04999999999703,79.43656111834899
3,41,True,0,90.04999999999703,223.82001946151894
3,42,False,0,18.75000000000013,14.584465298415003
3,43,False,0,19.150000000000137,8.309221610318323
3,44,True,0,90.04999999999703,44.50883737488075
3,45,False,0,18.75000000000013,8.9093774165467
3,46,True,0,90.04999999999703,54.82608820011149
3,47,True,0,90.04999999999703,98.95094556762201
3,48,True,0,90.04999999999703,88.13956610205523
3,49,False,0,19.050000000000136,6.685910048964824
3,50,True,0,90.04999999999703,52.69598510726443
3,51,True,0,90.04999999999703,44.92050562815832
3,52,True,0,90.04999999999703,45.75925615599649
3,53,True,0,90.04999999999703,86.1029518536046
3,54,True,0,90.04999999999703,166.40007047334004
3,55,True,0,90.04999999999703,84.13152447058633
3,56,True,0,90.04999999999703,51.81022907486393
3,57,True,0,90.04999999999703,195.07842181198873
3,58,True,0,90.04999999999703,94.09528549716265
3,59,False,0,19.150000000000137,5.131582305689914
4,0,True,0,90.04999999999703,47.607522457160314
4,1,True,0,90.04999999999703,40.03782053070266
4,2,True,0,90.04999999999703,164.96779164822902
4,3,True,0,90.04999999999703,17.2204273067711
4,4,False,0,18.950000000000134,9.779752684438066
4,5,True,0,90.04999999999703,31.03478622832369
4,6,True,0,90.04999999999703,18.393564267267305
4,7,True,0,90.04999999999703,53.02417000790693
4,8,True,0,90.04999999999703,17.504154599982613
4,9,True,0,90.04999999999703,91.69948562256916
4,10,True,0,90.04999999999703,30.555714028350945
4,11,True,0,90.04999999999703,98.80830852118115
4,12,True,0,90.04999999999703,304.86857000821544
4,13,True,0,90.04999999999703,51.57409345585132
4,14,True,0,90.04999999999703,27.371937898857162
4,15,True,0,90.04999999999703,32.66589294162716
